timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1671384419,19344,16213065,1836849.3633351952940705854716,0.0,0.0,0.0,0.0,0.0,0.0
1671458843,19345,16219235,1836849.3633351952940705854716,0.0,0.0,0.0,0.0,0.0,0.0
1671576815,19346,16229019,1877173.350453694782075084267587,0.0,0.0,0.0,0.0,0.0,0.0
1671635195,19347,16233862,1881810.555834383192661967506259,0.0,0.0,0.0,0.0,0.0,0.0
1671744659,19348,16242946,1885339.267314559053910942558364,0.0,0.0,0.0,0.0,0.0,0.0
1671836963,19349,16250619,1894178.830216887682930129480624,0.0,0.0,0.0,0.0,0.0,0.0
1671923423,19350,16257789,1894943.300660992961411278631147,0.0,0.0,0.0,0.0,0.0,0.0
1672004303,19351,16264498,1877986.615850102855328992122648,0.0,0.0,0.0,0.0,0.0,0.0
1672098587,19352,16272316,1878023.142248200551768503586442,0.0,0.0,0.0,0.0,0.0,0.0
1672181423,19353,16279177,2007279.16336216858087313109496,0.0,0.0,0.0,0.0,0.0,0.0
1672200743,19354,16280782,1966046.113922527832074527409586,0.0,0.0,0.0,0.0,0.0,0.0
1672355291,19355,16293598,1967078.576567099478259297382444,0.0,0.0,0.0,0.0,0.0,0.0
1672420223,19356,16298989,1967078.69751434237263611775764,0.0,0.0,0.0,0.0,0.0,0.0
1672523903,19357,16307584,1964008.21659774307434146352789,0.0,0.0,0.0,0.0,0.0,0.0
1672592951,19358,16313313,1972515.548646131915800739590812,0.0,0.0,0.0,0.0,0.0,0.0
1672688891,19359,16321277,2011053.371096848419271344600128,0.0,0.0,0.0,0.0,0.0,0.0
1672753859,19360,16326670,2013342.174630103392827284762416,0.0,0.0,0.0,0.0,0.0,0.0
1672857035,19361,16335227,2084448.372151647825598566002604,0.0,0.0,0.0,0.0,0.0,0.0
1672953239,19362,16343199,1951591.380608983693313930051042,0.0,0.0,0.0,0.0,0.0,0.0
1672986491,19363,16345952,1951591.380608983693313930051042,0.0,0.0,0.0,0.0,0.0,0.0
1673133935,19364,16358175,1965872.340031380203546181887604,0.0,0.0,0.0,0.0,0.0,0.0
1673299943,19366,16371946,2086291.991177768479348654109016,0.0,0.0,0.0,0.0,0.0,0.0
1673359811,19367,16376915,2086292.004657138154241226896304,0.0,0.0,0.0,0.0,0.0,0.0
1673444999,19368,16383975,2072620.45585480703541899829888,0.0,0.0,0.0,0.0,0.0,0.0
1673561207,19369,16393592,2173595.641792840640357857595369,0.0,0.0,0.0,0.0,0.0,0.0
1673641463,19370,16400241,2197934.06124331724450430001984,0.0,0.0,0.0,0.0,0.0,0.0
1673717147,19371,16406525,2380022.432002324186132850214196,0.0,0.0,0.0,0.0,0.0,0.0
1673806187,19372,16413896,2380022.738167822160443451820228,0.0,0.0,0.0,0.0,0.0,0.0
1673906747,19373,16422224,2396079.473048549653432161344834,0.0,0.0,0.0,0.0,0.0,0.0
1673968811,19374,16427378,2437062.51356620631825356214433,0.0,0.0,0.0,0.0,0.0,0.0
1674073139,19375,16436031,2461766.55800823392686892362512,0.0,0.0,0.0,0.0,0.0,0.0
1674165419,19376,16443676,2364349.489778499078628882597848,0.0,0.0,0.0,0.0,0.0,0.0
1674254207,19377,16451042,2364349.489778499078628882597848,0.0,0.0,0.0,0.0,0.0,0.0
1674336479,19378,16457865,2493475.827852125254063376871616,0.0,0.0,0.0,0.0,0.0,0.0
1674422135,19379,16464964,2493475.827852125254063376871616,0.0,0.0,0.0,0.0,0.0,0.0
1674510275,19380,16472273,2467178.525919995909531421042166,0.0,0.0,0.0,0.0,0.0,0.0
1674599543,19381,16479674,2468284.257388532307108512920924,0.0,0.0,0.0,0.0,0.0,0.0
1674688727,19382,16487066,2468289.123388453359350777053545,0.0,0.0,0.0,0.0,0.0,0.0
1674775403,19383,16494252,2459883.675956771410841940761964,0.0,0.0,0.0,0.0,0.0,0.0
1674859727,19384,16501234,2392340.950082011067262742705938,0.0,0.0,0.0,0.0,0.0,0.0
1674946547,19385,16508439,2406216.971114373005291653193675,0.0,0.0,0.0,0.0,0.0,0.0
1675036535,19386,16515894,2406216.971114373005291653193675,0.0,0.0,0.0,0.0,0.0,0.0
1675101431,19387,16521277,2406216.971114373005291653193675,0.0,0.0,0.0,0.0,0.0,0.0
